name;id;wikidataId;firstAuthor;numOfCoAuthors;title;subtitle;normalizedGenre;digitalSource;originalSourcePublisher;originalSourcePubPlace;originalSourceYear;originalSourceNumberOfPages;yearNormalized;size;libretto;averageClustering;density;averagePathLength;maxDegreeIds;averageDegree;diameter;datePremiered;yearPremiered;yearPrinted;maxDegree;numOfSpeakers;numOfSpeakersFemale;numOfSpeakersMale;numOfSpeakersUnknown;numOfPersonGroups;numConnectedComponents;numEdges;yearWritten;numOfSegments;wikipediaLinkCount;numOfActs;wordCountText;wordCountSp;wordCountStage;numOfP;numOfL;numOfSpeakersFemaleAndMale
braun-von-braunthal-faust;ger000204;Q52886944;Braun von Braunthal;0;Faust;Eine Tragödie;Tragedy;http://www.textgridrep.org/textgrid:kq6k.0;;;;;1835;36;FALSCH;8,23E+15;2,38E+16;2,21E+16;faust;8,33E+15;4;;;1835;22;36;5;24;7;10;1;150;;31;0;5;19300;18392;2491;0;2702;not equal
brawe-brutus;ger000472;Q51370012;Brawe;0;Brutus;Ein Trauerspiel in fünf Aufzügen;Tragedy;https://brawe.uni-leipzig.de/brutus1768/brutus1768_0_inhalt.html;Ille und Riemer;Leipzig/Weißenfels;2015;60;1768;7;FALSCH;7,10E+15;6,19E+15;1,38E+15;brutus;3,71E+16;2;###############################################################################################################################################################################################################################################################;1770;1768;6;7;0;7;0;0;1;13;1757/1758;34;0;5;12593;12267;262;0;1873;not equal
brawe-der-freygeist;ger000283;Q51369297;Brawe;0;Der Freygeist;Ein Trauerspiel in fünf Aufzügen;Tragedy;http://www.textgridrep.org/textgrid:kq6v.0;Winter;Berlin;1768;140;1758;6;FALSCH;3,89E+16;4,67E+15;1,67E+16;klerdon;2,33E+16;3;;1759;1758;4;6;1;5;0;0;1;7;1756/1757;32;0;5;20420;20240;428;326;0;not equal
bredow-goerne-der-lauf-der-welt;ger000619;Q118314158;Bredow-Görne;0;Der Lauf der Welt;Original-Lustspiel in einem Act;Comedy;https://books.google.com/books?id=7UiOnwensXIC&printsec=frontcover;Bartholomäus;Erfurt;1871;24;1871;5;FALSCH;1;1;1;several characters;4;1;;;1871;4;5;2;3;0;0;1;10;;9;0;0;4684;4457;419;193;4;not equal
bredow-goerne-gute-freunde;ger000606;Q116732407;Bredow-Görne;0;Gute Freunde;Dramatischer Scherz in 1 Akt;Comedy;https://books.google.com/books?id=4dIU729B0w0C&printsec=frontcover;;Berlin;1871;16;1871;13;FALSCH;1;1;1;several characters;12;1;;;1871;12;13;6;7;0;0;1;78;;1;0;1;5281;4986;475;329;0;not equal
bredow-goerne-hypatia;ger000725;Q122791554;Bredow-Görne;0;Hypatia;Ein Trauerspiel nach dem gleichnamigen Roman von Kingsley;Tragedy;https://books.google.com/books?id=8S4zEHGdt5cC&printsec=frontcover;Leiner;Leipzig;1878;111;1878;28;FALSCH;8,11E+15;2,41E+16;1,95E+16;philammon;65;4;;;1878;22;28;4;24;0;7;1;91;;38;0;5;12274;11660;801;0;1539;not equal
brentano-die-gruendung-prags;ger000384;Q1213207;Brentano;0;Die Gründung Prags;Ein historisch-romantisches Drama;;http://www.textgridrep.org/textgrid:krdh.0;;;;;1814;70;FALSCH;8,87E+15;6,49E+15;1,35E+16;wlasta|stratka|wrschowetz;4,48E+15;2;;;1814;69;71;27;38;5;10;1;1567;1812/1814;14;1;5;78035;71783;5569;0;9599;not equal
brentano-ponce-de-leon;ger000408;Q2103486;Brentano;0;Ponce de Leon;Lustspiel in fünf Aufzügen;Comedy;http://www.textgridrep.org/textgrid:kqwr.0;;;;;1803;37;FALSCH;7,64E+15;2,31E+16;1,90E+15;ponce;8,32E+15;4;;1814;1803;27;37;8;28;1;1;2;154;1801;122;1;5;39319;36332;3535;1735;248;not equal
bretzner-belmont-und-constanze;ger000339;Q4884441;Bretzner;0;Belmont und Constanze oder Die Entführung aus dem Serail;Eine Operette in drey Akten;;http://www.textgridrep.org/textgrid:krf8.0;;;;;1781;11;FALSCH;6,63E+15;5,09E+14;1,24E+16;pedrillo;5,09E+15;2;;1781;;8;11;2;9;0;2;2;28;;22;1;3;8549;8235;949;273;408;not equal
buechner-dantons-tod;ger000085;Q920590;Büchner;0;Dantons Tod;Ein Drama;;http://www.textgridrep.org/textgrid:ksd1.0;;;;;1835;103;FALSCH;8,98E+15;1,02E+16;2,46E+15;danton;1,04E+16;4;;1902;1835;43;103;19;70;14;20;4;535;1835;32;12;4;20263;19903;874;724;41;not equal
